Plot Title: ECO66G12-Water,,,,,,,,,,
,Date / Time,Water BP psi,Water Temp oC,Air BP psi,Water Level ft,Air Temp oC,,,,
#,"Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10229557, SEN S/N: 10229557)","Temp, °C (LGR S/N: 10229557, SEN S/N: 10229557)","Abs Pres Barom., psi (LGR S/N: 10229571, SEN S/N: 10229571)","Water Level, feet (LGR S/N: 10229557)","Temp, °C (LGR S/N: 10229571, SEN S/N: 10229571)",Coupler Detached (LGR S/N: 10229557),Coupler Attached (LGR S/N: 10229557),Stopped (LGR S/N: 10229557),End Of File (LGR S/N: 10229557)
1,1/13/2014 11:00,14.1919,10.944,,,,Logged,,,
2,1/13/2014 11:30,14.4869,7.983,14.1867,0.643,7.079,,,,
3,1/13/2014 12:00,14.4916,7.983,14.1927,0.64,6.471,,,,
4,1/13/2014 12:30,14.4781,8.082,14.1874,0.621,6.775,,,,
5,1/13/2014 13:00,14.4759,8.082,14.1896,0.611,7.179,,,,
6,1/13/2014 13:30,14.4648,8.182,14.1793,0.609,7.381,,,,
7,1/13/2014 14:00,14.4601,8.182,14.1748,0.608,7.381,,,,
8,1/13/2014 14:30,14.4559,8.282,14.1713,0.607,7.582,,,,
9,1/13/2014 15:00,14.4536,8.282,14.167,0.611,7.179,,,,
10,1/13/2014 15:30,14.4468,8.282,14.1629,0.605,7.28,,,,
11,1/13/2014 16:00,14.4421,8.282,14.1602,0.601,7.179,,,,
12,1/13/2014 16:30,14.4468,8.282,14.168,0.593,7.381,,,,
13,1/13/2014 17:00,14.4513,8.282,14.1737,0.591,7.179,,,,
14,1/13/2014 17:30,14.4559,8.282,14.1771,0.593,6.978,,,,
15,1/13/2014 18:00,14.4556,8.182,14.1796,0.587,6.573,,,,
16,1/13/2014 18:30,14.4578,8.182,14.1838,0.582,6.064,,,,
17,1/13/2014 19:00,14.4601,8.182,14.184,0.587,5.655,,,,
18,1/13/2014 19:30,14.4598,8.082,14.1882,0.577,5.141,,,,
19,1/13/2014 20:00,14.4619,7.983,14.186,0.587,4.727,,,,
20,1/13/2014 20:30,14.4642,7.983,14.1902,0.582,4.207,,,,
21,1/13/2014 21:00,14.4707,7.882,14.1948,0.587,3.788,,,,
22,1/13/2014 21:30,14.4704,7.782,14.1977,0.579,3.472,,,,
23,1/13/2014 22:00,14.4724,7.682,14.1979,0.584,3.049,,,,
24,1/13/2014 22:30,14.4722,7.582,14.2004,0.577,2.624,,,,
25,1/13/2014 23:00,14.4738,7.381,14.2009,0.58,2.303,,,,
26,1/13/2014 23:30,14.4735,7.28,14.2033,0.574,1.872,,,,
27,1/14/2014 0:00,14.4732,7.179,14.1999,0.581,1.656,,,,
28,1/14/2014 0:30,14.4684,7.079,14.1977,0.575,1.656,,,,
29,1/14/2014 1:00,14.4569,7.079,14.1915,0.563,1.764,,,,
30,1/14/2014 1:30,14.4475,6.978,14.1841,0.558,1.656,,,,
31,1/14/2014 2:00,14.4427,6.877,14.1785,0.56,1.872,,,,
32,1/14/2014 2:30,14.4424,6.775,14.1763,0.564,1.872,,,,
33,1/14/2014 3:00,14.4466,6.674,14.1802,0.565,1.764,,,,
34,1/14/2014 3:30,14.4534,6.674,14.1864,0.566,1.656,,,,
35,1/14/2014 4:00,14.4623,6.573,14.195,0.567,1.548,,,,
36,1/14/2014 4:30,14.4646,6.573,14.1995,0.562,1.548,,,,
37,1/14/2014 5:00,14.4643,6.471,14.1993,0.561,1.98,,,,
38,1/14/2014 5:30,14.4643,6.471,14.197,0.567,2.41,,,,
39,1/14/2014 6:00,14.4623,6.573,14.1986,0.558,2.73,,,,
40,1/14/2014 6:30,14.4646,6.573,14.2041,0.551,2.943,,,,
41,1/14/2014 7:00,14.4646,6.573,14.2024,0.555,3.049,,,,
42,1/14/2014 7:30,14.4666,6.471,14.2092,0.544,3.049,,,,
43,1/14/2014 8:00,14.4666,6.471,14.2047,0.554,3.049,,,,
44,1/14/2014 8:30,14.4711,6.471,14.2086,0.556,2.943,,,,
45,1/14/2014 9:00,14.469,6.471,14.2082,0.552,2.837,,,,
46,1/14/2014 9:30,14.4732,6.37,14.2121,0.552,2.73,,,,
47,1/14/2014 10:00,14.4778,6.37,14.2189,0.547,2.73,,,,
48,1/14/2014 10:30,14.4804,6.471,14.2246,0.54,2.943,,,,
49,1/14/2014 11:00,14.4826,6.471,14.2256,0.543,3.155,,,,
50,1/14/2014 11:30,14.4826,6.471,14.2221,0.551,3.367,,,,
51,1/14/2014 12:00,14.4807,6.573,14.2175,0.557,3.788,,,,
52,1/14/2014 12:30,14.4717,6.674,14.215,0.542,4.207,,,,
53,1/14/2014 13:00,14.4649,6.674,14.2076,0.544,4.519,,,,
54,1/14/2014 13:30,14.4607,6.775,14.1996,0.552,4.727,,,,
55,1/14/2014 14:00,14.4516,6.775,14.1938,0.545,4.934,,,,
56,1/14/2014 14:30,14.4404,6.877,14.1859,0.537,5.141,,,,
57,1/14/2014 15:00,14.4333,6.775,14.1786,0.538,5.037,,,,
58,1/14/2014 15:30,14.4333,6.775,14.1745,0.547,5.141,,,,
59,1/14/2014 16:00,14.4333,6.775,14.1751,0.546,5.244,,,,
60,1/14/2014 16:30,14.4286,6.775,14.174,0.538,5.45,,,,
61,1/14/2014 17:00,14.4355,6.775,14.1806,0.538,5.45,,,,
62,1/14/2014 17:30,14.4401,6.775,14.1841,0.541,5.244,,,,
63,1/14/2014 18:00,14.4424,6.775,14.1844,0.545,4.831,,,,
64,1/14/2014 18:30,14.4489,6.674,14.1947,0.537,4.207,,,,
65,1/14/2014 19:00,14.4601,6.573,14.2069,0.534,3.472,,,,
66,1/14/2014 19:30,14.469,6.471,14.2156,0.535,2.517,,,,
67,1/14/2014 20:00,14.4758,6.471,14.2241,0.531,1.98,,,,
68,1/14/2014 20:30,14.4823,6.37,14.2266,0.54,1.548,,,,
69,1/14/2014 21:00,14.4867,6.268,14.2362,0.528,1.221,,,,
70,1/14/2014 21:30,14.4887,6.166,14.2363,0.532,0.784,,,,
71,1/14/2014 22:00,14.4884,6.064,14.2392,0.525,0.453,,,,
72,1/14/2014 22:30,14.4901,5.86,14.2375,0.533,0.121,,,,
73,1/14/2014 23:00,14.4875,5.757,14.2336,0.536,-0.213,,,,
74,1/14/2014 23:30,14.4849,5.655,14.2353,0.526,-0.774,,,,
75,1/15/2014 0:00,14.4843,5.45,14.2376,0.519,-1.228,,,,
76,1/15/2014 0:30,14.4796,5.347,14.2337,0.517,-1.57,,,,
77,1/15/2014 1:00,14.4816,5.244,14.2343,0.521,-1.914,,,,
78,1/15/2014 1:30,14.474,5.037,14.2263,0.522,-2.145,,,,
79,1/15/2014 2:00,14.4716,4.934,14.2314,0.504,-2.494,,,,
80,1/15/2014 2:30,14.4758,4.831,14.2304,0.516,-2.727,,,,
81,1/15/2014 3:00,14.471,4.727,14.2308,0.504,-3.079,,,,
82,1/15/2014 3:30,14.4704,4.519,14.232,0.5,-3.316,,,,
83,1/15/2014 4:00,14.4724,4.415,14.2331,0.502,-3.553,,,,
84,1/15/2014 4:30,14.4745,4.311,14.2359,0.501,-3.911,,,,
85,1/15/2014 5:00,14.4742,4.207,14.2324,0.508,-4.152,,,,
86,1/15/2014 5:30,14.4716,4.102,14.2285,0.511,-4.514,,,,
87,1/15/2014 6:00,14.4688,3.893,14.2295,0.502,-4.758,,,,
88,1/15/2014 6:30,14.473,3.788,14.2305,0.51,-5.003,,,,
89,1/15/2014 7:00,14.4706,3.683,14.2339,0.496,-5.249,,,,
90,1/15/2014 7:30,14.4771,3.578,14.235,0.509,-5.496,,,,
91,1/15/2014 8:00,14.4746,3.472,14.2384,0.495,-5.745,,,,
92,1/15/2014 8:30,14.4788,3.367,14.24,0.501,-5.87,,,,
93,1/15/2014 9:00,14.4785,3.261,14.2388,0.503,-6.12,,,,
94,1/15/2014 9:30,14.4738,3.155,14.2365,0.498,-6.12,,,,
95,1/15/2014 10:00,14.4872,3.049,14.2484,0.501,-5.995,,,,
96,1/15/2014 10:30,14.4917,3.049,14.2534,0.5,-5.87,,,,
97,1/15/2014 11:00,14.4869,2.943,14.2497,0.498,-5.249,,,,
98,1/15/2014 11:30,14.4732,2.943,14.2392,0.49,-4.152,,,,
99,1/15/2014 12:00,14.4687,2.943,14.237,0.485,-3.197,,,,
100,1/15/2014 12:30,14.4687,2.943,14.231,0.499,-2.145,,,,
101,1/15/2014 13:00,14.4598,3.049,14.2224,0.498,-1.114,,,,
102,1/15/2014 13:30,14.4437,3.049,14.2111,0.487,-0.213,,,,
103,1/15/2014 14:00,14.4327,3.155,14.1973,0.493,0.674,,,,
104,1/15/2014 14:30,14.426,3.261,14.1876,0.5,1.439,,,,
105,1/15/2014 15:00,14.4149,3.367,14.1789,0.495,2.41,,,,
106,1/15/2014 15:30,14.4175,3.472,14.1809,0.496,3.261,,,,
107,1/15/2014 16:00,14.4198,3.472,14.1803,0.503,3.155,,,,
108,1/15/2014 16:30,14.4108,3.578,14.177,0.49,2.943,,,,
109,1/15/2014 17:00,14.402,3.683,14.1677,0.491,1.98,,,,
110,1/15/2014 17:30,14.4001,3.788,14.1622,0.499,1.33,,,,
111,1/15/2014 18:00,14.3954,3.788,14.1561,0.502,1.003,,,,
112,1/15/2014 18:30,14.3886,3.788,14.1567,0.485,0.674,,,,
113,1/15/2014 19:00,14.3886,3.788,14.1534,0.493,0.453,,,,
114,1/15/2014 19:30,14.3911,3.893,14.1545,0.496,0.232,,,,
115,1/15/2014 20:00,14.4049,3.893,14.167,0.499,0.01,,,,
116,1/15/2014 20:30,14.414,3.893,14.1771,0.497,-0.213,,,,
117,1/15/2014 21:00,14.4163,3.893,14.1834,0.488,-0.325,,,,
118,1/15/2014 21:30,14.4208,3.893,14.1873,0.489,-0.437,,,,
119,1/15/2014 22:00,14.4299,3.893,14.193,0.497,-0.662,,,,
120,1/15/2014 22:30,14.4299,3.893,14.1947,0.493,-0.774,,,,
121,1/15/2014 23:00,14.4276,3.893,14.1964,0.484,-0.887,,,,
122,1/15/2014 23:30,14.4299,3.893,14.1947,0.493,-0.774,,,,
123,1/16/2014 0:00,14.4231,3.893,14.189,0.49,-0.549,,,,
124,1/16/2014 0:30,14.4231,3.893,14.1828,0.505,-0.437,,,,
125,1/16/2014 1:00,14.4094,3.893,14.1754,0.49,-0.102,,,,
126,1/16/2014 1:30,14.4002,3.893,14.167,0.488,0.01,,,,
127,1/16/2014 2:00,14.398,3.893,14.1631,0.492,0.121,,,,
128,1/16/2014 2:30,14.3957,3.893,14.1612,0.491,0.674,,,,
