SiteID,Date Time,Water Temp C,Discrete.Water Temp C,Air Temp C,Discrete.Air Temp C
Dunfield,2015-11-18 12:00,7.494,,7.845,
Dunfield,2015-11-18 12:30,7.343,,10.443,
Dunfield,2015-11-18 13:00,7.469,,11.224,
Dunfield,2015-11-18 13:30,7.619,,11.832,
Dunfield,2015-11-18 14:00,7.795,,12.413,
Dunfield,2015-11-18 14:30,7.97,,12.871,
Dunfield,2015-11-18 15:00,8.095,,13.497,
Dunfield,2015-11-18 15:30,8.22,,13.618,
Dunfield,2015-11-18 16:00,8.295,,13.353,
Dunfield,2015-11-18 16:30,8.369,,13.305,
Dunfield,2015-11-18 17:00,8.444,,12.968,
Dunfield,2015-11-18 17:30,8.469,,12.775,
Dunfield,2015-11-18 18:00,8.519,,12.558,
Dunfield,2015-11-18 18:30,8.543,,12.268,
Dunfield,2015-11-18 19:00,8.568,,11.88,
Dunfield,2015-11-18 19:30,8.618,,10.736,
Dunfield,2015-11-18 20:00,8.643,,10.907,
Dunfield,2015-11-18 20:30,8.693,,11.273,
Dunfield,2015-11-18 21:00,8.742,,12.195,
Dunfield,2015-11-18 21:30,8.767,,11.856,
Dunfield,2015-11-18 22:00,8.792,,11.637,
Dunfield,2015-11-18 22:30,8.841,,12.147,
Dunfield,2015-11-18 23:00,8.891,,13.064,
Dunfield,2015-11-18 23:30,8.941,,13.305,
Dunfield,2015-11-19 0:00,8.99,,13.69,
Dunfield,2015-11-19 0:30,9.04,,13.786,
Dunfield,2015-11-19 1:00,9.114,,13.81,
Dunfield,2015-11-19 1:30,9.163,,13.762,
Dunfield,2015-11-19 2:00,9.188,,13.834,
Dunfield,2015-11-19 2:30,9.262,,13.762,
Dunfield,2015-11-19 3:00,9.336,,13.738,
Dunfield,2015-11-19 3:30,9.386,,13.762,
Dunfield,2015-11-19 4:00,9.435,,13.906,
Dunfield,2015-11-19 4:30,9.509,,13.978,
Dunfield,2015-11-19 5:00,9.558,,14.002,
Dunfield,2015-11-19 5:30,9.583,,14.194,
Dunfield,2015-11-19 6:00,9.608,,13.978,
Dunfield,2015-11-19 6:30,9.632,,14.074,
Dunfield,2015-11-19 7:00,9.657,,14.242,
Dunfield,2015-11-19 7:30,9.706,,14.337,
Dunfield,2015-11-19 8:00,9.731,,14.409,
Dunfield,2015-11-19 8:30,9.78,,14.601,
Dunfield,2015-11-19 9:00,9.854,,14.984,
Dunfield,2015-11-19 9:30,9.903,,15.533,
Dunfield,2015-11-19 10:00,10.001,,15.915,
Dunfield,2015-11-19 10:30,10.075,,15.915,
Dunfield,2015-11-19 11:00,10.1,,16.082,
Dunfield,2015-11-19 11:30,10.149,,15.939,
Dunfield,2015-11-19 12:00,10.247,,15.294,
Dunfield,2015-11-19 12:30,10.369,,15.27,
Dunfield,2015-11-19 13:00,10.467,,15.055,
Dunfield,2015-11-19 13:30,10.541,,15.175,
Dunfield,2015-11-19 14:00,10.59,,15.509,
Dunfield,2015-11-19 14:30,10.687,,15.557,
Dunfield,2015-11-19 15:00,10.736,,15.676,
Dunfield,2015-11-19 15:30,10.81,,15.724,
Dunfield,2015-11-19 16:00,10.932,,15.891,
Dunfield,2015-11-19 16:30,10.956,,16.034,
Dunfield,2015-11-19 17:00,10.98,,16.153,
Dunfield,2015-11-19 17:30,11.102,,16.249,
Dunfield,2015-11-19 18:00,11.151,,16.296,
Dunfield,2015-11-19 18:30,11.224,,16.201,
Dunfield,2015-11-19 19:00,11.273,,16.296,
Dunfield,2015-11-19 19:30,11.37,,16.177,
Dunfield,2015-11-19 20:00,11.346,,15.939,
Dunfield,2015-11-19 20:30,11.321,,15.939,
Dunfield,2015-11-19 21:00,11.273,,15.605,
Dunfield,2015-11-19 21:30,11.297,,15.796,
Dunfield,2015-11-19 22:00,11.248,,15.461,
Dunfield,2015-11-19 22:30,11.224,,14.673,
Dunfield,2015-11-19 23:00,11.175,,14.314,
Dunfield,2015-11-19 23:30,11.151,,14.266,
Dunfield,2015-11-20 0:00,11.151,,14.314,
Dunfield,2015-11-20 0:30,11.127,,14.29,
Dunfield,2015-11-20 1:00,11.102,,13.954,
Dunfield,2015-11-20 1:30,11.053,,13.618,
Dunfield,2015-11-20 2:00,11.005,,12.799,
Dunfield,2015-11-20 2:30,10.932,,12.074,
Dunfield,2015-11-20 3:00,10.883,,11.394,
Dunfield,2015-11-20 3:30,10.81,,10.98,
Dunfield,2015-11-20 4:00,10.736,,10.247,
Dunfield,2015-11-20 4:30,10.663,,10.149,
Dunfield,2015-11-20 5:00,10.59,,9.78,
Dunfield,2015-11-20 5:30,10.541,,9.386,
Dunfield,2015-11-20 6:00,10.467,,8.99,
Dunfield,2015-11-20 6:30,10.394,,8.543,
Dunfield,2015-11-20 7:00,10.32,,8.27,
Dunfield,2015-11-20 7:30,10.222,,7.544,
Dunfield,2015-11-20 8:00,10.124,,6.712,
Dunfield,2015-11-20 8:30,10.026,,6.23,
Dunfield,2015-11-20 9:00,9.928,,6.128,
Dunfield,2015-11-20 9:30,9.829,,6.889,
Dunfield,2015-11-20 10:00,9.805,,8.866,
Dunfield,2015-11-20 10:30,9.78,,10.124,
Dunfield,2015-11-20 11:00,9.78,,10.247,
Dunfield,2015-11-20 11:30,9.756,,10.663,
Dunfield,2015-11-20 12:00,9.731,,11.443,
Dunfield,2015-11-20 12:30,9.731,,11.686,
Dunfield,2015-11-20 13:00,9.731,,11.613,
Dunfield,2015-11-20 13:30,9.756,,11.686,
Dunfield,2015-11-20 14:00,9.805,,12.001,
Dunfield,2015-11-20 14:30,9.829,,12.098,
Dunfield,2015-11-20 15:00,9.829,,11.807,
Dunfield,2015-11-20 15:30,9.829,,11.734,
Dunfield,2015-11-20 16:00,9.805,,11.783,
Dunfield,2015-11-20 16:30,9.756,,10.614,
Dunfield,2015-11-20 17:00,9.731,,9.903,
Dunfield,2015-11-20 17:30,9.682,,8.891,
Dunfield,2015-11-20 18:00,9.608,,7.419,
Dunfield,2015-11-20 18:30,9.534,,6.408,
Dunfield,2015-11-20 19:00,9.435,,5.308,
Dunfield,2015-11-20 19:30,9.336,,4.636,
Dunfield,2015-11-20 20:00,9.238,,4.35,
Dunfield,2015-11-20 20:30,9.139,,3.327,
Dunfield,2015-11-20 21:00,9.04,,2.797,
Dunfield,2015-11-20 21:30,8.941,,2.182,
Dunfield,2015-11-20 22:00,8.841,,1.994,
Dunfield,2015-11-20 22:30,8.742,,2.182,
Dunfield,2015-11-20 23:00,8.668,,1.588,
Dunfield,2015-11-20 23:30,8.593,,1.262,
Dunfield,2015-11-21 0:00,8.519,,1.208,
Dunfield,2015-11-21 0:30,8.469,,0.852,
Dunfield,2015-11-21 1:00,8.394,,0.715,
Dunfield,2015-11-21 1:30,8.319,,0.495,
Dunfield,2015-11-21 2:00,8.27,,0.687,
Dunfield,2015-11-21 2:30,8.195,,0.742,
Dunfield,2015-11-21 3:00,8.17,,0.467,
Dunfield,2015-11-21 3:30,8.12,,0.356,
Dunfield,2015-11-21 4:00,8.07,,0.135,
Dunfield,2015-11-21 4:30,8.045,,0.439,
Dunfield,2015-11-21 5:00,8.02,,0.522,
Dunfield,2015-11-21 5:30,7.995,,-0.032,
Dunfield,2015-11-21 6:00,7.97,,0.079,
Dunfield,2015-11-21 6:30,7.945,,0.163,
Dunfield,2015-11-21 7:00,7.895,,0.107,
Dunfield,2015-11-21 7:30,7.87,,-0.591,
Dunfield,2015-11-21 8:00,7.82,,-0.958,
Dunfield,2015-11-21 8:30,7.795,,-0.817,
Dunfield,2015-11-21 9:00,7.77,,0.051,
Dunfield,2015-11-21 9:30,7.77,,0.632,
Dunfield,2015-11-21 10:00,7.77,,2.289,
Dunfield,2015-11-21 10:30,7.82,,3.354,
Dunfield,2015-11-21 11:00,7.92,,5.076,
Dunfield,2015-11-21 11:30,7.995,,5.898,
Dunfield,2015-11-21 12:00,8.12,,7.368,
Dunfield,2015-11-21 12:30,8.22,,8.295,
Dunfield,2015-11-21 13:00,8.319,,8.792,
Dunfield,2015-11-21 13:30,8.469,,9.287,
Dunfield,2015-11-21 14:00,8.593,,9.879,
Dunfield,2015-11-21 14:30,8.668,,9.558,
Dunfield,2015-11-21 15:00,8.717,,9.657,
Dunfield,2015-11-21 15:30,8.767,,9.509,
Dunfield,2015-11-21 16:00,8.792,,9.485,
Dunfield,2015-11-21 16:30,8.792,,9.064,
Dunfield,2015-11-21 17:00,8.742,,8.792,
Dunfield,2015-11-21 17:30,8.717,,8.643,
Dunfield,2015-11-21 18:00,8.693,,6.889,
Dunfield,2015-11-21 18:30,8.643,,6.509,
Dunfield,2015-11-21 19:00,8.593,,5.847,
Dunfield,2015-11-21 19:30,8.519,,5.642,
Dunfield,2015-11-21 20:00,8.469,,6.56,
Dunfield,2015-11-21 20:30,8.444,,5.668,
Dunfield,2015-11-21 21:00,8.419,,5.796,
Dunfield,2015-11-21 21:30,8.419,,6.408,
Dunfield,2015-11-21 22:00,8.419,,5.616,
Dunfield,2015-11-21 22:30,8.419,,4.428,
Dunfield,2015-11-21 23:00,8.419,,5.205,
Dunfield,2015-11-21 23:30,8.444,,5.898,
Dunfield,2015-11-22 0:00,8.469,,6.94,
Dunfield,2015-11-22 0:30,8.519,,7.242,
Dunfield,2015-11-22 1:00,8.568,,7.544,
Dunfield,2015-11-22 1:30,8.618,,7.695,
Dunfield,2015-11-22 2:00,8.693,,9.213,
Dunfield,2015-11-22 2:30,8.792,,9.064,
Dunfield,2015-11-22 3:00,8.841,,9.139,
Dunfield,2015-11-22 3:30,8.891,,9.015,
Dunfield,2015-11-22 4:00,8.941,,9.213,
Dunfield,2015-11-22 4:30,8.99,,9.163,
Dunfield,2015-11-22 5:00,9.015,,9.04,
Dunfield,2015-11-22 5:30,9.04,,8.469,
Dunfield,2015-11-22 6:00,9.04,,7.494,
Dunfield,2015-11-22 6:30,9.015,,6.914,
Dunfield,2015-11-22 7:00,9.015,,6.839,
Dunfield,2015-11-22 7:30,8.99,,7.116,
Dunfield,2015-11-22 8:00,8.965,,7.293,
Dunfield,2015-11-22 8:30,8.891,,6.255,
Dunfield,2015-11-22 9:00,8.841,,6.585,
Dunfield,2015-11-22 9:30,8.817,,7.318,
Dunfield,2015-11-22 10:00,8.792,,7.544,
Dunfield,2015-11-22 10:30,8.817,,8.319,
Dunfield,2015-11-22 11:00,8.841,,8.767,
Dunfield,2015-11-22 11:30,8.841,,8.568,
Dunfield,2015-11-22 12:00,8.866,,8.817,
Dunfield,2015-11-22 12:30,8.891,,9.188,
Dunfield,2015-11-22 13:00,8.941,,9.188,
Dunfield,2015-11-22 13:30,8.965,,9.756,
Dunfield,2015-11-22 14:00,8.99,,9.558,
Dunfield,2015-11-22 14:30,8.99,,9.386,
Dunfield,2015-11-22 15:00,8.99,,9.04,
Dunfield,2015-11-22 15:30,8.965,,8.891,
Dunfield,2015-11-22 16:00,8.941,,8.717,
Dunfield,2015-11-22 16:30,8.891,,8.543,
Dunfield,2015-11-22 17:00,8.866,,8.344,
Dunfield,2015-11-22 17:30,8.841,,8.07,
Dunfield,2015-11-22 18:00,8.792,,7.795,
Dunfield,2015-11-22 18:30,8.742,,7.494,
Dunfield,2015-11-22 19:00,8.717,,7.192,
Dunfield,2015-11-22 19:30,8.668,,6.99,
Dunfield,2015-11-22 20:00,8.618,,6.636,
Dunfield,2015-11-22 20:30,8.593,,6.153,
Dunfield,2015-11-22 21:00,8.519,,5.668,
Dunfield,2015-11-22 21:30,8.444,,5.257,
Dunfield,2015-11-22 22:00,8.369,,4.688,
Dunfield,2015-11-22 22:30,8.295,,4.298,
