Water RowID,Date Time,Water BP psi,Water Temp C,Air BP psi,Water Level ft,Air TempoC,Coupler Detached (LGR S/N: 10229567),Coupler Attached (LGR S/N: 10229567),Stopped (LGR S/N: 10229567),End Of File (LGR S/N: 10229567),SiteID,Water LoggerID
1,2014-04-23 12:30,14.254,12.401,,,,Logged,,,,ECO66G20,10229567
2,2014-04-23 13:00,14.1638,12.11,13.9676,0.435,15.951,,,,,ECO66G20,10229567
3,2014-04-23 13:30,14.1584,12.497,13.9648,0.429,17.189,,,,,ECO66G20,10229567
4,2014-04-23 14:00,14.1503,12.787,13.9596,0.423,17.95,,,,,ECO66G20,10229567
5,2014-04-23 14:30,14.1515,13.076,13.9584,0.428,18.616,,,,,ECO66G20,10229567
6,2014-04-23 15:00,14.1429,13.269,13.951,0.425,18.996,,,,,ECO66G20,10229567
7,2014-04-23 15:30,14.139,13.461,13.949,0.421,19.472,,,,,ECO66G20,10229567
8,2014-04-23 16:00,14.1325,13.558,13.9442,0.417,19.472,,,,,ECO66G20,10229567
9,2014-04-23 16:30,14.1304,13.654,13.9396,0.423,19.472,,,,,ECO66G20,10229567
10,2014-04-23 17:00,14.1332,13.75,13.9409,0.427,19.282,,,,,ECO66G20,10229567
11,2014-04-23 17:30,14.1286,13.75,13.9364,0.426,18.901,,,,,ECO66G20,10229567
12,2014-04-23 18:00,14.1281,13.654,13.9367,0.425,18.521,,,,,ECO66G20,10229567
13,2014-04-23 18:30,14.1302,13.558,13.9399,0.422,18.236,,,,,ECO66G20,10229567
14,2014-04-23 19:00,14.1297,13.461,13.9368,0.428,17.665,,,,,ECO66G20,10229567
15,2014-04-23 19:30,14.1364,13.365,13.9384,0.44,17.094,,,,,ECO66G20,10229567
16,2014-04-23 20:00,14.1336,13.269,13.9431,0.422,15.76,,,,,ECO66G20,10229567
17,2014-04-23 20:30,14.1402,13.173,13.9476,0.427,14.421,,,,,ECO66G20,10229567
18,2014-04-23 21:00,14.1422,13.076,13.9503,0.425,13.173,,,,,ECO66G20,10229567
19,2014-04-23 21:30,14.146,12.883,13.9545,0.424,12.207,,,,,ECO66G20,10229567
20,2014-04-23 22:00,14.1476,12.69,13.957,0.422,11.334,,,,,ECO66G20,10229567
21,2014-04-23 22:30,14.1518,12.594,13.9599,0.425,10.553,,,,,ECO66G20,10229567
22,2014-04-23 23:00,14.1534,12.401,13.9632,0.421,9.866,,,,,ECO66G20,10229567
23,2014-04-23 23:30,14.1502,12.207,13.9577,0.427,9.275,,,,,ECO66G20,10229567
24,2014-04-24 00:00,14.1494,12.013,13.9622,0.415,8.779,,,,,ECO66G20,10229567
25,2014-04-24 00:30,14.149,11.916,13.9606,0.417,8.481,,,,,ECO66G20,10229567
26,2014-04-24 01:00,14.1435,11.722,13.9538,0.42,8.082,,,,,ECO66G20,10229567
27,2014-04-24 01:30,14.1451,11.528,13.9541,0.423,7.682,,,,,ECO66G20,10229567
28,2014-04-24 02:00,14.14,11.431,13.9513,0.418,7.179,,,,,ECO66G20,10229567
29,2014-04-24 02:30,14.1391,11.236,13.9493,0.421,6.775,,,,,ECO66G20,10229567
30,2014-04-24 03:00,14.1387,11.139,13.9502,0.418,6.064,,,,,ECO66G20,10229567
31,2014-04-24 03:30,14.1426,10.944,13.9541,0.418,5.45,,,,,ECO66G20,10229567
32,2014-04-24 04:00,14.1441,10.748,13.9531,0.423,4.831,,,,,ECO66G20,10229567
33,2014-04-24 04:30,14.1461,10.651,13.9586,0.415,4.519,,,,,ECO66G20,10229567
34,2014-04-24 05:00,14.148,10.553,13.9593,0.418,4.207,,,,,ECO66G20,10229567
35,2014-04-24 05:30,14.1471,10.357,13.9605,0.413,3.998,,,,,ECO66G20,10229567
36,2014-04-24 06:00,14.1538,10.259,13.9647,0.419,3.893,,,,,ECO66G20,10229567
37,2014-04-24 06:30,14.16,10.063,13.9712,0.418,3.788,,,,,ECO66G20,10229567
38,2014-04-24 07:00,14.1666,9.965,13.9771,0.42,3.578,,,,,ECO66G20,10229567
39,2014-04-24 07:30,14.1732,9.866,13.9831,0.421,3.367,,,,,ECO66G20,10229567
40,2014-04-24 08:00,14.1728,9.768,13.9864,0.413,3.578,,,,,ECO66G20,10229567
41,2014-04-24 08:30,14.1724,9.669,13.9863,0.412,3.998,,,,,ECO66G20,10229567
42,2014-04-24 09:00,14.1747,9.669,13.9866,0.417,4.934,,,,,ECO66G20,10229567
43,2014-04-24 09:30,14.1728,9.768,13.9841,0.418,6.268,,,,,ECO66G20,10229567
44,2014-04-24 10:00,14.1686,9.866,13.9848,0.407,8.182,,,,,ECO66G20,10229567
45,2014-04-24 10:30,14.1689,9.965,13.9828,0.412,10.455,,,,,ECO66G20,10229567
46,2014-04-24 11:00,14.1674,10.161,13.9822,0.41,12.98,,,,,ECO66G20,10229567
47,2014-04-24 11:30,14.1686,10.455,13.9841,0.408,15.951,,,,,ECO66G20,10229567
48,2014-04-24 12:00,14.1605,10.748,13.9757,0.409,18.331,,,,,ECO66G20,10229567
49,2014-04-24 12:30,14.1551,11.139,13.9693,0.411,19.758,,,,,ECO66G20,10229567
