RowID Water,Date Time,Water BP psi,Water Temp C,Air BP psi,Water Level ft,Air Temp C,Coupler Detached (LGR S/N: 10229567),Coupler Attached (LGR S/N: 10229567),Stopped (LGR S/N: 10229567),End Of File (LGR S/N: 10229567),SiteID,Water LoggerID
1,2014-07-28 12:00,14.1187,20.329,13.9592,0.297,21.76,Logged,,,,ECO66G20,10229567
2,2014-07-28 12:30,14.1143,20.424,13.9557,0.295,20.71,,,,,ECO66G20,10229567
3,2014-07-28 13:00,14.1171,20.519,13.9573,0.298,20.996,,,,,ECO66G20,10229567
4,2014-07-28 13:30,14.1109,20.71,13.9534,0.292,21.569,,,,,ECO66G20,10229567
5,2014-07-28 14:00,14.1113,20.805,13.9536,0.293,22.046,,,,,ECO66G20,10229567
6,2014-07-28 14:30,14.1074,20.996,13.9528,0.286,22.333,,,,,ECO66G20,10229567
7,2014-07-28 15:00,14.1058,21.187,13.9521,0.284,22.621,,,,,ECO66G20,10229567
8,2014-07-28 15:30,14.1058,21.187,13.9515,0.285,22.525,,,,,ECO66G20,10229567
9,2014-07-28 16:00,14.1039,21.282,13.9523,0.279,22.238,,,,,ECO66G20,10229567
10,2014-07-28 16:30,14.1035,21.187,13.9494,0.284,22.142,,,,,ECO66G20,10229567
11,2014-07-28 17:00,14.1011,21.187,13.9484,0.281,21.951,,,,,ECO66G20,10229567
12,2014-07-28 17:30,14.0965,21.187,13.946,0.276,21.951,,,,,ECO66G20,10229567
13,2014-07-28 18:00,14.098,20.996,13.9445,0.283,21.664,,,,,ECO66G20,10229567
14,2014-07-28 18:30,14.0926,20.805,13.9433,0.273,21.473,,,,,ECO66G20,10229567
15,2014-07-28 19:00,14.0945,20.71,13.9458,0.272,21.473,,,,,ECO66G20,10229567
16,2014-07-28 19:30,14.0964,20.615,13.9471,0.273,21.282,,,,,ECO66G20,10229567
17,2014-07-28 20:00,14.1007,20.519,13.9507,0.275,21.091,,,,,ECO66G20,10229567
18,2014-07-28 20:30,14.098,20.424,13.9534,0.263,20.71,,,,,ECO66G20,10229567
19,2014-07-28 21:00,14.0998,20.329,13.9518,0.271,20.424,,,,,ECO66G20,10229567
20,2014-07-28 21:30,14.1042,20.234,13.9558,0.271,19.853,,,,,ECO66G20,10229567
21,2014-07-28 22:00,14.1061,20.138,13.9574,0.272,19.282,,,,,ECO66G20,10229567
22,2014-07-28 22:30,14.1104,20.043,13.9623,0.271,18.901,,,,,ECO66G20,10229567
23,2014-07-28 23:00,14.1148,19.948,13.9619,0.282,18.806,,,,,ECO66G20,10229567
24,2014-07-28 23:30,14.1167,19.853,13.966,0.277,18.711,,,,,ECO66G20,10229567
25,2014-07-29 00:00,14.1186,19.758,13.9668,0.279,18.426,,,,,ECO66G20,10229567
26,2014-07-29 00:30,14.1183,19.662,13.97,0.271,18.14,,,,,ECO66G20,10229567
27,2014-07-29 01:00,14.1178,19.567,13.9666,0.278,17.95,,,,,ECO66G20,10229567
28,2014-07-29 01:30,14.1151,19.472,13.9668,0.271,17.57,,,,,ECO66G20,10229567
29,2014-07-29 02:00,14.1146,19.377,13.9648,0.275,17.189,,,,,ECO66G20,10229567
30,2014-07-29 02:30,14.1142,19.282,13.9651,0.273,16.808,,,,,ECO66G20,10229567
31,2014-07-29 03:00,14.1114,19.187,13.9637,0.27,16.523,,,,,ECO66G20,10229567
32,2014-07-29 03:30,14.104,19.092,13.9573,0.267,16.237,,,,,ECO66G20,10229567
33,2014-07-29 04:00,14.1033,18.901,13.9539,0.274,16.046,,,,,ECO66G20,10229567
34,2014-07-29 04:30,14.1029,18.806,13.9577,0.264,15.855,,,,,ECO66G20,10229567
35,2014-07-29 05:00,14.1048,18.711,13.959,0.265,15.664,,,,,ECO66G20,10229567
36,2014-07-29 05:30,14.1068,18.616,13.9603,0.267,15.473,,,,,ECO66G20,10229567
37,2014-07-29 06:00,14.1087,18.521,13.9616,0.268,15.282,,,,,ECO66G20,10229567
38,2014-07-29 06:30,14.1107,18.426,13.9629,0.27,15.091,,,,,ECO66G20,10229567
39,2014-07-29 07:00,14.1126,18.331,13.9648,0.27,14.996,,,,,ECO66G20,10229567
40,2014-07-29 07:30,14.1122,18.236,13.9642,0.27,14.9,,,,,ECO66G20,10229567
41,2014-07-29 08:00,14.1119,18.14,13.9642,0.269,14.9,,,,,ECO66G20,10229567
42,2014-07-29 08:30,14.1142,18.14,13.9681,0.266,15.187,,,,,ECO66G20,10229567
43,2014-07-29 09:00,14.1165,18.14,13.9689,0.269,15.76,,,,,ECO66G20,10229567
44,2014-07-29 09:30,14.1193,18.236,13.9735,0.265,16.618,,,,,ECO66G20,10229567
45,2014-07-29 10:00,14.1239,18.236,13.9771,0.267,17.284,,,,,ECO66G20,10229567
46,2014-07-29 10:30,14.1244,18.331,13.9802,0.261,17.855,,,,,ECO66G20,10229567
47,2014-07-29 11:00,14.1294,18.426,13.9838,0.265,18.521,,,,,ECO66G20,10229567
48,2014-07-29 11:30,14.1345,18.521,13.9874,0.268,19.187,,,,,ECO66G20,10229567
49,2014-07-29 12:00,14.1306,18.711,13.9882,0.257,19.758,,,,,ECO66G20,10229567
50,2014-07-29 12:30,14.1306,18.711,13.9864,0.261,19.853,,,,,ECO66G20,10229567
51,2014-07-29 13:00,14.1267,18.901,13.9819,0.263,20.329,,,,,ECO66G20,10229567
52,2014-07-29 13:30,14.1252,19.092,13.9811,0.261,20.615,,,,,ECO66G20,10229567
53,2014-07-29 14:00,14.1236,19.282,13.978,0.265,20.901,,,,,ECO66G20,10229567
54,2014-07-29 14:30,14.1193,19.377,13.979,0.252,21.091,,,,,ECO66G20,10229567
55,2014-07-29 15:00,14.1201,19.567,13.9738,0.267,20.996,,,,,ECO66G20,10229567
56,2014-07-29 15:30,14.1183,19.662,13.9751,0.259,20.805,,,,,ECO66G20,10229567
57,2014-07-29 16:00,14.1186,19.758,13.9755,0.259,20.901,,,,,ECO66G20,10229567
58,2014-07-29 16:30,14.1171,19.948,13.9725,0.263,21.187,,,,,ECO66G20,10229567
59,2014-07-29 17:00,14.1199,20.043,13.9748,0.264,21.187,,,,,ECO66G20,10229567
60,2014-07-29 17:30,14.1199,20.043,13.9774,0.258,20.805,,,,,ECO66G20,10229567
61,2014-07-29 18:00,14.1186,19.758,13.9758,0.258,20.519,,,,,ECO66G20,10229567
62,2014-07-29 18:30,14.1201,19.567,13.978,0.257,20.043,,,,,ECO66G20,10229567
63,2014-07-29 19:00,14.1217,19.377,13.9822,0.251,19.948,,,,,ECO66G20,10229567
64,2014-07-29 19:30,14.1236,19.282,13.9848,0.249,19.567,,,,,ECO66G20,10229567
