Water RowID,Date.Time,Water Temp C,Water BP psi,Sensor Depth ft,Air Temp C,Air BP psi,SiteID
0,2013-05-03 08:00,13.173,15.0400,1.635,16.777,14.3410,ECO68C20
1,2013-05-03 08:30,13.269,15.0498,1.635,16.888,14.3418,ECO68C20
2,2013-05-03 09:00,13.269,15.0568,1.647,16.999,14.3435,ECO68C20
3,2013-05-03 09:30,13.269,15.0522,1.635,16.618,14.3438,ECO68C20
4,2013-05-03 10:00,13.365,15.0456,1.634,16.903,14.3379,ECO68C20
5,2013-05-03 10:30,13.365,15.0408,1.629,17.475,14.3354,ECO68C20
6,2013-05-03 11:00,13.461,15.0343,1.624,18.140,14.3309,ECO68C20
7,2013-05-03 11:30,13.461,15.0320,1.622,18.331,14.3293,ECO68C20
8,2013-05-03 12:00,13.461,15.0274,1.618,18.236,14.3265,ECO68C20
9,2013-05-03 12:30,13.654,15.0188,1.619,18.426,14.3177,ECO68C20
10,2013-05-03 13:00,13.750,15.0285,1.621,18.806,14.3265,ECO68C20
11,2013-05-03 13:30,13.750,15.0239,1.622,18.711,14.3213,ECO68C20
12,2013-05-03 14:00,13.750,15.0169,1.610,18.331,14.3197,ECO68C20
13,2013-05-03 14:30,13.750,15.0123,1.615,17.855,14.3129,ECO68C20
14,2013-05-03 15:00,13.654,15.0049,1.607,17.475,14.3088,ECO68C20
15,2013-05-03 15:30,13.654,15.0024,1.615,17.189,14.3029,ECO68C20
16,2013-05-03 16:00,13.654,15.0001,1.612,16.999,14.3020,ECO68C20
17,2013-05-03 16:30,13.654,14.9978,1.607,16.903,14.3016,ECO68C20
18,2013-05-03 17:00,13.558,14.9881,1.606,16.999,14.2925,ECO68C20
19,2013-05-03 17:30,13.461,14.9899,1.606,16.903,14.2943,ECO68C20
20,2013-05-03 18:00,13.461,14.9853,1.607,16.808,14.2893,ECO68C20
21,2013-05-03 18:30,13.365,14.9802,1.591,16.713,14.2911,ECO68C20
22,2013-05-03 19:00,13.365,14.9779,1.593,16.523,14.2880,ECO68C20
23,2013-05-03 19:30,13.365,14.9825,1.593,16.427,14.2925,ECO68C20
24,2013-05-03 20:00,13.365,14.9872,1.595,16.237,14.2965,ECO68C20
25,2013-05-03 20:30,13.269,14.9844,1.587,15.760,14.2969,ECO68C20
26,2013-05-03 21:00,13.269,14.9798,1.591,15.378,14.2906,ECO68C20
27,2013-05-03 21:30,13.269,14.9682,1.583,15.187,14.2826,ECO68C20
28,2013-05-03 22:00,13.269,14.9635,1.586,14.900,14.2766,ECO68C20
29,2013-05-03 22:30,13.269,14.9635,1.587,14.804,14.2762,ECO68C20
30,2013-05-03 23:00,13.173,14.9631,1.581,14.709,14.2782,ECO68C20
31,2013-05-03 23:30,13.173,14.9654,1.586,14.709,14.2782,ECO68C20
32,2013-05-04 00:00,13.173,14.9585,1.577,14.613,14.2755,ECO68C20
33,2013-05-04 00:30,13.173,14.9608,1.577,14.613,14.2778,ECO68C20
34,2013-05-04 01:00,13.173,14.9585,1.584,14.421,14.2723,ECO68C20
35,2013-05-04 01:30,13.173,14.9561,1.585,14.325,14.2694,ECO68C20
36,2013-05-04 02:00,13.076,14.9463,1.580,14.230,14.2619,ECO68C20
37,2013-05-04 02:30,13.076,14.9511,1.575,14.134,14.2687,ECO68C20
38,2013-05-04 03:00,13.076,14.9580,1.581,14.038,14.2732,ECO68C20
39,2013-05-04 03:30,13.076,14.9557,1.587,14.038,14.2684,ECO68C20
40,2013-05-04 04:00,13.076,14.9580,1.593,13.942,14.2679,ECO68C20
41,2013-05-04 04:30,13.076,14.9604,1.599,13.846,14.2675,ECO68C20
42,2013-05-04 05:00,13.076,14.9743,1.621,13.846,14.2723,ECO68C20
43,2013-05-04 05:30,13.076,14.9860,1.637,13.750,14.2768,ECO68C20
44,2013-05-04 06:00,13.076,14.9999,1.666,13.558,14.2784,ECO68C20
45,2013-05-04 06:30,13.076,15.0140,1.694,13.461,14.2804,ECO68C20
