GageID,SiteID,Date.Time,Water.Temp.C,Air.Temp.C,Discharge.ft3/s,Water.Level.ft,Water.Temp.C_cd,Air.Temp.C_cd,Discharge.ft3/s_cd,Water.Level.ft_cd
1187300,HRCC,2014-05-01 01:00,6.1,5.9,640,4.92,P,P,P,P
1187300,HRCC,2014-05-01 01:15,6.1,5.8,677,5.03,P,P,P,P
1187300,HRCC,2014-05-01 01:30,6.1,5.9,701,5.1,P,P,P,P
1187300,HRCC,2014-05-01 01:45,6.1,5.9,743,5.22,P,P,P,P
1187300,HRCC,2014-05-01 02:00,6.1,5.9,761,5.27,P,P,P,P
1187300,HRCC,2014-05-01 02:15,6.1,5.9,794,5.36,P,P,P,P
1187300,HRCC,2014-05-01 02:30,6,5.9,828,5.45,P,P,P,P
1187300,HRCC,2014-05-01 02:45,6,5.9,836,5.47,P,P,P,P
1187300,HRCC,2014-05-01 03:00,6,5.9,843,5.49,P,P,P,P
1187300,HRCC,2014-05-01 03:15,6,6,870,5.56,P,P,P,P
1187300,HRCC,2014-05-01 03:30,6,6,870,5.56,P,P,P,P
1187300,HRCC,2014-05-01 03:45,6,5.9,870,5.56,P,P,P,P
1187300,HRCC,2014-05-01 04:00,6,5.9,867,5.55,P,P,P,P
1187300,HRCC,2014-05-01 04:15,6,5.9,874,5.57,P,P,P,P
1187300,HRCC,2014-05-01 04:30,6,6,867,5.55,P,P,P,P
1187300,HRCC,2014-05-01 04:45,6,6,863,5.54,P,P,P,P
1187300,HRCC,2014-05-01 05:00,6,6,863,5.54,P,P,P,P
1187300,HRCC,2014-05-01 05:15,6,6.1,851,5.51,P,P,P,P
1187300,HRCC,2014-05-01 05:30,6,6,847,5.5,P,P,P,P
1187300,HRCC,2014-05-01 05:45,6,6.2,855,5.52,P,P,P,P
1187300,HRCC,2014-05-01 06:00,6,6.1,832,5.46,P,P,P,P
1187300,HRCC,2014-05-01 06:15,6,6.1,836,5.47,P,P,P,P
1187300,HRCC,2014-05-01 06:30,6,6.2,828,5.45,P,P,P,P
1187300,HRCC,2014-05-01 06:45,6,6.3,821,5.43,P,P,P,P
1187300,HRCC,2014-05-01 07:00,6,6.3,806,5.39,P,P,P,P
1187300,HRCC,2014-05-01 07:15,6,6.6,802,5.38,P,P,P,P
1187300,HRCC,2014-05-01 07:30,6,6.7,783,5.33,P,P,P,P
1187300,HRCC,2014-05-01 07:45,6,6.7,765,5.28,P,P,P,P
1187300,HRCC,2014-05-01 08:00,6,6.9,761,5.27,P,P,P,P
1187300,HRCC,2014-05-01 08:15,6,7,747,5.23,P,P,P,P
1187300,HRCC,2014-05-01 08:30,6.1,6.9,743,5.22,P,P,P,P
1187300,HRCC,2014-05-01 08:45,6.1,7.3,726,5.17,P,P,P,P
1187300,HRCC,2014-05-01 09:00,6.1,7.2,719,5.15,P,P,P,P
1187300,HRCC,2014-05-01 09:15,6.1,7.7,694,5.08,P,P,P,P
1187300,HRCC,2014-05-01 09:30,6.1,8.1,684,5.05,P,P,P,P
1187300,HRCC,2014-05-01 09:45,6.2,8.4,687,5.06,P,P,P,P
1187300,HRCC,2014-05-01 10:00,6.2,8.8,667,5,P,P,P,P
1187300,HRCC,2014-05-01 10:15,6.3,9.1,660,4.98,P,P,P,P
1187300,HRCC,2014-05-01 10:30,6.3,9.6,640,4.92,P,P,P,P
1187300,HRCC,2014-05-01 10:45,6.4,9.6,624,4.87,P,P,P,P
1187300,HRCC,2014-05-01 11:00,6.4,10.1,614,4.84,P,P,P,P
1187300,HRCC,2014-05-01 11:15,6.5,10.1,604,4.81,P,P,P,P
1187300,HRCC,2014-05-01 11:30,6.5,10.2,588,4.76,P,P,P,P
1187300,HRCC,2014-05-01 11:45,6.6,10.2,582,4.74,P,P,P,P
1187300,HRCC,2014-05-01 12:00,6.6,10.2,566,4.69,P,P,P,P
1187300,HRCC,2014-05-01 12:15,6.7,10.7,551,4.64,P,P,P,P
1187300,HRCC,2014-05-01 12:30,6.8,11.4,539,4.6,P,P,P,P
1187300,HRCC,2014-05-01 12:45,6.8,12.1,521,4.54,P,P,P,P
1187300,HRCC,2014-05-01 13:00,6.9,12.9,512,4.51,P,P,P,P
1187300,HRCC,2014-05-01 13:15,7,13.2,500,4.47,P,P,P,P
1187300,HRCC,2014-05-01 13:30,7.1,14,495,4.45,P,P,P,P
1187300,HRCC,2014-05-01 13:45,7.2,15.1,480,4.4,P,P,P,P
1187300,HRCC,2014-05-01 14:00,7.4,16,472,4.37,P,P,P,P
1187300,HRCC,2014-05-01 14:15,7.6,17.4,458,4.32,P,P,P,P
1187300,HRCC,2014-05-01 14:30,7.7,17.7,447,4.28,P,P,P,P
1187300,HRCC,2014-05-01 14:45,8,18.6,433,4.23,P,P,P,P
1187300,HRCC,2014-05-01 15:00,8.2,19.6,428,4.21,P,P,P,P
1187300,HRCC,2014-05-01 15:15,8.2,20.1,415,4.16,P,P,P,P
1187300,HRCC,2014-05-01 15:30,8.3,20.5,402,4.11,P,P,P,P
1187300,HRCC,2014-05-01 15:45,8.4,21.3,389,4.06,P,P,P,P
1187300,HRCC,2014-05-01 16:00,8.6,22.4,389,4.06,P,P,P,P
1187300,HRCC,2014-05-01 16:15,8.7,21.2,381,4.03,P,P,P,P
1187300,HRCC,2014-05-01 16:30,8.8,19.3,369,3.98,P,P,P,P
1187300,HRCC,2014-05-01 16:45,8.8,18.3,361,3.95,P,P,P,P
1187300,HRCC,2014-05-01 17:00,8.9,18.3,354,3.92,P,P,P,P
1187300,HRCC,2014-05-01 17:15,8.9,17.3,347,3.89,P,P,P,P
1187300,HRCC,2014-05-01 17:30,9,17.1,337,3.86,P,P,P,P
1187300,HRCC,2014-05-01 17:45,9.1,17.1,330,3.83,P,P,P,P
1187300,HRCC,2014-05-01 18:00,9.1,17.8,319,3.78,P,P,P,P
1187300,HRCC,2014-05-01 18:15,9.2,16.6,317,3.77,P,P,P,P
1187300,HRCC,2014-05-01 18:30,9.2,15.1,312,3.75,P,P,P,P
1187300,HRCC,2014-05-01 18:45,9.3,14.4,303,3.71,P,P,P,P
1187300,HRCC,2014-05-01 19:00,9.3,13.7,301,3.7,P,P,P,P
1187300,HRCC,2014-05-01 19:15,9.3,13.4,290,3.66,P,P,P,P
1187300,HRCC,2014-05-01 19:30,9.4,12.9,286,3.64,P,P,P,P
1187300,HRCC,2014-05-01 19:45,9.4,12.8,281,3.62,P,P,P,P
1187300,HRCC,2014-05-01 20:00,9.4,14,277,3.6,P,P,P,P
1187300,HRCC,2014-05-01 20:15,9.5,13.5,273,3.58,P,P,P,P
1187300,HRCC,2014-05-01 20:30,9.5,13.1,271,3.57,P,P,P,P
1187300,HRCC,2014-05-01 20:45,9.5,12.3,264,3.54,P,P,P,P
1187300,HRCC,2014-05-01 21:00,9.5,11.8,260,3.52,P,P,P,P
1187300,HRCC,2014-05-01 21:15,9.5,11.1,258,3.51,P,P,P,P
1187300,HRCC,2014-05-01 21:30,9.5,11,256,3.5,P,P,P,P
1187300,HRCC,2014-05-01 21:45,9.5,11,252,3.48,P,P,P,P
1187300,HRCC,2014-05-01 22:00,9.5,10.8,248,3.46,P,P,P,P
1187300,HRCC,2014-05-01 22:15,9.4,10.6,246,3.45,P,P,P,P
