SiteID,Date,Time,DateTime,Water.Temp.C,Air.Temp.C,Water.BP.psi,Air.BP.psi,Water.Level.ft,Water.RowID,Flag.DateTime,Flag.Water.Temp.C,Flag.Air.Temp.C,Flag.Water.BP.psi,Flag.Air.BP.psi,Flag.Water.Level.ft,month,day,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Flag.Gross.Air.Temp.C,Flag.Spike.Air.Temp.C,Flag.RoC.Air.Temp.C,Flag.Flat.Air.Temp.C,Flag.Gross.Water.BP.psi,Flag.Spike.Water.BP.psi,Flag.RoC.Water.BP.psi,Flag.Flat.Water.BP.psi,Flag.Gross.Air.BP.psi,Flag.Spike.Air.BP.psi,Flag.RoC.Air.BP.psi,Flag.Flat.Air.BP.psi,Flag.Gross.Water.Level.ft,Flag.Spike.Water.Level.ft,Flag.RoC.Water.Level.ft,Flag.Flat.Water.Level.ft,Comment.MOD.DateTime,RAW.DateTime,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C,Comment.MOD.Air.Temp.C,RAW.Air.Temp.C,Comment.MOD.Water.BP.psi,RAW.Water.BP.psi,Comment.MOD.Air.BP.psi,RAW.Air.BP.psi,Comment.MOD.Water.Level.ft,RAW.Water.Level.ft
ECO66G12,2014-01-13,11:00:00,2014-01-13 11:00:00,10.944,NA,14.1919,NA,NA,1,,P,X,P,X,X,1,13,P,X,X,P,X,X,X,P,P,X,X,P,X,X,X,P,X,X,X,P,,2014-01-13 11:00:00,,10.944,,NA,,14.1919,,NA,,NA
ECO66G12,2014-01-13,11:30:00,2014-01-13 11:30:00,7.983,7.079,14.4869,14.1867,0.643,2,,P,P,P,P,P,1,13,P,P,P,P,P,X,X,P,P,P,P,P,P,X,X,P,P,X,X,P,,2014-01-13 11:30:00,,7.983,,7.079,,14.4869,,14.1867,,0.643
ECO66G12,2014-01-13,12:00:00,2014-01-13 12:00:00,7.983,6.471,14.4916,14.1927,0.64,3,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 12:00:00,,7.983,,6.471,,14.4916,,14.1927,,0.64
ECO66G12,2014-01-13,12:30:00,2014-01-13 12:30:00,8.082,6.775,14.4781,14.1874,0.621,4,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 12:30:00,,8.082,,6.775,,14.4781,,14.1874,,0.621
ECO66G12,2014-01-13,13:00:00,2014-01-13 13:00:00,8.082,7.179,14.4759,14.1896,0.611,5,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 13:00:00,,8.082,,7.179,,14.4759,,14.1896,,0.611
ECO66G12,2014-01-13,13:30:00,2014-01-13 13:30:00,8.182,7.381,14.4648,14.1793,0.609,6,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 13:30:00,,8.182,,7.381,,14.4648,,14.1793,,0.609
ECO66G12,2014-01-13,14:00:00,2014-01-13 14:00:00,8.182,7.381,14.4601,14.1748,0.608,7,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 14:00:00,,8.182,,7.381,,14.4601,,14.1748,,0.608
ECO66G12,2014-01-13,14:30:00,2014-01-13 14:30:00,8.282,7.582,14.4559,14.1713,0.607,8,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 14:30:00,,8.282,,7.582,,14.4559,,14.1713,,0.607
ECO66G12,2014-01-13,15:00:00,2014-01-13 15:00:00,8.282,7.179,14.4536,14.167,0.611,9,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 15:00:00,,8.282,,7.179,,14.4536,,14.167,,0.611
ECO66G12,2014-01-13,15:30:00,2014-01-13 15:30:00,8.282,7.28,14.4468,14.1629,0.605,10,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 15:30:00,,8.282,,7.28,,14.4468,,14.1629,,0.605
ECO66G12,2014-01-13,16:00:00,2014-01-13 16:00:00,8.282,7.179,14.4421,14.1602,0.601,11,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 16:00:00,,8.282,,7.179,,14.4421,,14.1602,,0.601
ECO66G12,2014-01-13,16:30:00,2014-01-13 16:30:00,8.282,7.381,14.4468,14.168,0.593,12,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 16:30:00,,8.282,,7.381,,14.4468,,14.168,,0.593
ECO66G12,2014-01-13,17:00:00,2014-01-13 17:00:00,8.282,7.179,14.4513,14.1737,0.591,13,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 17:00:00,,8.282,,7.179,,14.4513,,14.1737,,0.591
ECO66G12,2014-01-13,17:30:00,2014-01-13 17:30:00,8.282,6.978,14.4559,14.1771,0.593,14,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 17:30:00,,8.282,,6.978,,14.4559,,14.1771,,0.593
ECO66G12,2014-01-13,18:00:00,2014-01-13 18:00:00,8.182,6.573,14.4556,14.1796,0.587,15,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 18:00:00,,8.182,,6.573,,14.4556,,14.1796,,0.587
ECO66G12,2014-01-13,18:30:00,2014-01-13 18:30:00,8.182,6.064,14.4578,14.1838,0.582,16,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 18:30:00,,8.182,,6.064,,14.4578,,14.1838,,0.582
ECO66G12,2014-01-13,19:00:00,2014-01-13 19:00:00,8.182,5.655,14.4601,14.184,0.587,17,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 19:00:00,,8.182,,5.655,,14.4601,,14.184,,0.587
ECO66G12,2014-01-13,19:30:00,2014-01-13 19:30:00,8.082,5.141,14.4598,14.1882,0.577,18,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 19:30:00,,8.082,,5.141,,14.4598,,14.1882,,0.577
ECO66G12,2014-01-13,20:00:00,2014-01-13 20:00:00,7.983,4.727,14.4619,14.186,0.587,19,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 20:00:00,,7.983,,4.727,,14.4619,,14.186,,0.587
ECO66G12,2014-01-13,20:30:00,2014-01-13 20:30:00,7.983,4.207,14.4642,14.1902,0.582,20,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 20:30:00,,7.983,,4.207,,14.4642,,14.1902,,0.582
ECO66G12,2014-01-13,21:00:00,2014-01-13 21:00:00,7.882,3.788,14.4707,14.1948,0.587,21,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 21:00:00,,7.882,,3.788,,14.4707,,14.1948,,0.587
ECO66G12,2014-01-13,21:30:00,2014-01-13 21:30:00,7.782,3.472,14.4704,14.1977,0.579,22,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 21:30:00,,7.782,,3.472,,14.4704,,14.1977,,0.579
ECO66G12,2014-01-13,22:00:00,2014-01-13 22:00:00,7.682,3.049,14.4724,14.1979,0.584,23,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 22:00:00,,7.682,,3.049,,14.4724,,14.1979,,0.584
ECO66G12,2014-01-13,22:30:00,2014-01-13 22:30:00,7.582,2.624,14.4722,14.2004,0.577,24,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 22:30:00,,7.582,,2.624,,14.4722,,14.2004,,0.577
ECO66G12,2014-01-13,23:00:00,2014-01-13 23:00:00,7.381,2.303,14.4738,14.2009,0.58,25,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 23:00:00,,7.381,,2.303,,14.4738,,14.2009,,0.58
ECO66G12,2014-01-13,23:30:00,2014-01-13 23:30:00,7.28,1.872,14.4735,14.2033,0.574,26,,P,P,P,P,P,1,13,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-13 23:30:00,,7.28,,1.872,,14.4735,,14.2033,,0.574
ECO66G12,2014-01-14,00:00:00,2014-01-14 00:00:00,7.179,1.656,14.4732,14.1999,0.581,27,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 00:00:00,,7.179,,1.656,,14.4732,,14.1999,,0.581
ECO66G12,2014-01-14,00:30:00,2014-01-14 00:30:00,7.079,1.656,14.4684,14.1977,0.575,28,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 00:30:00,,7.079,,1.656,,14.4684,,14.1977,,0.575
ECO66G12,2014-01-14,01:00:00,2014-01-14 01:00:00,7.079,1.764,14.4569,14.1915,0.563,29,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 01:00:00,,7.079,,1.764,,14.4569,,14.1915,,0.563
ECO66G12,2014-01-14,01:30:00,2014-01-14 01:30:00,6.978,1.656,14.4475,14.1841,0.558,30,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 01:30:00,,6.978,,1.656,,14.4475,,14.1841,,0.558
ECO66G12,2014-01-14,02:00:00,2014-01-14 02:00:00,6.877,1.872,14.4427,14.1785,0.56,31,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 02:00:00,,6.877,,1.872,,14.4427,,14.1785,,0.56
ECO66G12,2014-01-14,02:30:00,2014-01-14 02:30:00,6.775,1.872,14.4424,14.1763,0.564,32,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 02:30:00,,6.775,,1.872,,14.4424,,14.1763,,0.564
ECO66G12,2014-01-14,03:00:00,2014-01-14 03:00:00,6.674,1.764,14.4466,14.1802,0.565,33,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 03:00:00,,6.674,,1.764,,14.4466,,14.1802,,0.565
ECO66G12,2014-01-14,03:30:00,2014-01-14 03:30:00,6.674,1.656,14.4534,14.1864,0.566,34,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 03:30:00,,6.674,,1.656,,14.4534,,14.1864,,0.566
ECO66G12,2014-01-14,04:00:00,2014-01-14 04:00:00,6.573,1.548,14.4623,14.195,0.567,35,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 04:00:00,,6.573,,1.548,,14.4623,,14.195,,0.567
ECO66G12,2014-01-14,04:30:00,2014-01-14 04:30:00,6.573,1.548,14.4646,14.1995,0.562,36,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 04:30:00,,6.573,,1.548,,14.4646,,14.1995,,0.562
ECO66G12,2014-01-14,05:00:00,2014-01-14 05:00:00,6.471,1.98,14.4643,14.1993,0.561,37,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 05:00:00,,6.471,,1.98,,14.4643,,14.1993,,0.561
ECO66G12,2014-01-14,05:30:00,2014-01-14 05:30:00,6.471,2.41,14.4643,14.197,0.567,38,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 05:30:00,,6.471,,2.41,,14.4643,,14.197,,0.567
ECO66G12,2014-01-14,06:00:00,2014-01-14 06:00:00,6.573,2.73,14.4623,14.1986,0.558,39,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 06:00:00,,6.573,,2.73,,14.4623,,14.1986,,0.558
ECO66G12,2014-01-14,06:30:00,2014-01-14 06:30:00,6.573,2.943,14.4646,14.2041,0.551,40,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 06:30:00,,6.573,,2.943,,14.4646,,14.2041,,0.551
ECO66G12,2014-01-14,07:00:00,2014-01-14 07:00:00,6.573,3.049,14.4646,14.2024,0.555,41,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 07:00:00,,6.573,,3.049,,14.4646,,14.2024,,0.555
ECO66G12,2014-01-14,07:30:00,2014-01-14 07:30:00,6.471,3.049,14.4666,14.2092,0.544,42,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 07:30:00,,6.471,,3.049,,14.4666,,14.2092,,0.544
ECO66G12,2014-01-14,08:00:00,2014-01-14 08:00:00,6.471,3.049,14.4666,14.2047,0.554,43,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 08:00:00,,6.471,,3.049,,14.4666,,14.2047,,0.554
ECO66G12,2014-01-14,08:30:00,2014-01-14 08:30:00,6.471,2.943,14.4711,14.2086,0.556,44,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 08:30:00,,6.471,,2.943,,14.4711,,14.2086,,0.556
ECO66G12,2014-01-14,09:00:00,2014-01-14 09:00:00,6.471,2.837,14.469,14.2082,0.552,45,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 09:00:00,,6.471,,2.837,,14.469,,14.2082,,0.552
ECO66G12,2014-01-14,09:30:00,2014-01-14 09:30:00,6.37,2.73,14.4732,14.2121,0.552,46,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 09:30:00,,6.37,,2.73,,14.4732,,14.2121,,0.552
ECO66G12,2014-01-14,10:00:00,2014-01-14 10:00:00,6.37,2.73,14.4778,14.2189,0.547,47,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 10:00:00,,6.37,,2.73,,14.4778,,14.2189,,0.547
ECO66G12,2014-01-14,10:30:00,2014-01-14 10:30:00,6.471,2.943,14.4804,14.2246,0.54,48,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 10:30:00,,6.471,,2.943,,14.4804,,14.2246,,0.54
ECO66G12,2014-01-14,11:00:00,2014-01-14 11:00:00,6.471,3.155,14.4826,14.2256,0.543,49,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 11:00:00,,6.471,,3.155,,14.4826,,14.2256,,0.543
ECO66G12,2014-01-14,11:30:00,2014-01-14 11:30:00,6.471,3.367,14.4826,14.2221,0.551,50,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 11:30:00,,6.471,,3.367,,14.4826,,14.2221,,0.551
ECO66G12,2014-01-14,12:00:00,2014-01-14 12:00:00,6.573,3.788,14.4807,14.2175,0.557,51,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 12:00:00,,6.573,,3.788,,14.4807,,14.2175,,0.557
ECO66G12,2014-01-14,12:30:00,2014-01-14 12:30:00,6.674,4.207,14.4717,14.215,0.542,52,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 12:30:00,,6.674,,4.207,,14.4717,,14.215,,0.542
ECO66G12,2014-01-14,13:00:00,2014-01-14 13:00:00,6.674,4.519,14.4649,14.2076,0.544,53,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 13:00:00,,6.674,,4.519,,14.4649,,14.2076,,0.544
ECO66G12,2014-01-14,13:30:00,2014-01-14 13:30:00,6.775,4.727,14.4607,14.1996,0.552,54,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 13:30:00,,6.775,,4.727,,14.4607,,14.1996,,0.552
ECO66G12,2014-01-14,14:00:00,2014-01-14 14:00:00,6.775,4.934,14.4516,14.1938,0.545,55,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 14:00:00,,6.775,,4.934,,14.4516,,14.1938,,0.545
ECO66G12,2014-01-14,14:30:00,2014-01-14 14:30:00,6.877,5.141,14.4404,14.1859,0.537,56,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 14:30:00,,6.877,,5.141,,14.4404,,14.1859,,0.537
ECO66G12,2014-01-14,15:00:00,2014-01-14 15:00:00,6.775,5.037,14.4333,14.1786,0.538,57,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 15:00:00,,6.775,,5.037,,14.4333,,14.1786,,0.538
ECO66G12,2014-01-14,15:30:00,2014-01-14 15:30:00,6.775,5.141,14.4333,14.1745,0.547,58,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 15:30:00,,6.775,,5.141,,14.4333,,14.1745,,0.547
ECO66G12,2014-01-14,16:00:00,2014-01-14 16:00:00,6.775,5.244,14.4333,14.1751,0.546,59,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 16:00:00,,6.775,,5.244,,14.4333,,14.1751,,0.546
ECO66G12,2014-01-14,16:30:00,2014-01-14 16:30:00,6.775,5.45,14.4286,14.174,0.538,60,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 16:30:00,,6.775,,5.45,,14.4286,,14.174,,0.538
ECO66G12,2014-01-14,17:00:00,2014-01-14 17:00:00,6.775,5.45,14.4355,14.1806,0.538,61,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 17:00:00,,6.775,,5.45,,14.4355,,14.1806,,0.538
ECO66G12,2014-01-14,17:30:00,2014-01-14 17:30:00,6.775,5.244,14.4401,14.1841,0.541,62,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 17:30:00,,6.775,,5.244,,14.4401,,14.1841,,0.541
ECO66G12,2014-01-14,18:00:00,2014-01-14 18:00:00,6.775,4.831,14.4424,14.1844,0.545,63,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 18:00:00,,6.775,,4.831,,14.4424,,14.1844,,0.545
ECO66G12,2014-01-14,18:30:00,2014-01-14 18:30:00,6.674,4.207,14.4489,14.1947,0.537,64,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 18:30:00,,6.674,,4.207,,14.4489,,14.1947,,0.537
ECO66G12,2014-01-14,19:00:00,2014-01-14 19:00:00,6.573,3.472,14.4601,14.2069,0.534,65,,P,P,P,P,P,1,14,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2014-01-14 19:00:00,,6.573,,3.472,,14.4601,,14.2069,,0.534
